id,comcode,policynum,Agency,ridernum,plancode,comkey,lastName,firstName,fullname,dob,gender,poltype,crole,age,IssueDate,ADDR1,ADDR2,CITY,MOBILE,FATHERNAME,clttype,ben_seq_no,remarks,RRN,NID,CLNTID
1,150,1000001,NULL,1,3PP000018,KEY1001,MIA,KAMAL,"MIA, KAMAL",1989-02-27,F,A,0,29,2020-01-02,House 1,Road 1,Rajshahi,880171000001,MANNAN,CLNT,1,NULL,NULL,NULL,2000001
2,150,1000002,NULL,1,3PP000018,KEY1002,ISLAM,ALI,"ISLAM, ALI",1986-09-20,M,A,0,43,2020-01-03,House 2,Road 2,Rangpur,880171000002,KUDDUS,CLNT,1,NULL,NULL,NULL,2000002
3,150,1000003,NULL,1,3PP000018,KEY1003,BEGUM,RUBEL,"BEGUM, RUBEL",1997-06-07,F,A,0,29,2020-01-04,House 3,Road 3,Barisal,880171000003,RAFIQ,CLNT,1,NULL,NULL,NULL,2000003
4,150,1000004,NULL,1,3PP000018,KEY1004,HOSSAIN,KAMAL,"HOSSAIN, KAMAL",1985-08-02,M,A,0,32,2020-01-05,House 4,Road 4,Khulna,880171000004,KARIM,CLNT,1,NULL,NULL,NULL,2000004
5,150,1000005,NULL,1,3PP000018,KEY1005,KHAN,IMRAN,"KHAN, IMRAN",1990-07-08,M,A,0,32,2020-01-06,House 5,Road 5,Dhaka,880171000005,AKBAR,CLNT,1,NULL,NULL,NULL,2000005
6,150,1000006,NULL,1,3PP000018,KEY1006,RAHMAN,RAHIM,"RAHMAN, RAHIM",1989-06-19,F,A,0,32,2020-01-07,House 6,Road 6,Barisal,880171000006,JALAL,CLNT,1,NULL,NULL,NULL,2000006
7,150,1000007,NULL,1,3PP000018,KEY1007,MIA,RAHIM,"MIA, RAHIM",1996-06-07,F,A,0,43,2020-01-08,House 7,Road 7,Barisal,880171000007,MANNAN,CLNT,1,NULL,NULL,NULL,2000007
8,150,1000008,NULL,1,3PP000018,KEY1008,KHAN,ALI,"KHAN, ALI",1986-11-04,F,A,0,28,2020-01-09,House 8,Road 8,Dhaka,880171000008,HASAN,CLNT,1,NULL,NULL,NULL,2000008
9,150,1000009,NULL,1,3PP000018,KEY1009,MIA,IMRAN,"MIA, IMRAN",1998-08-09,F,A,0,38,2020-01-10,House 9,Road 9,Rajshahi,880171000009,KUDDUS,CLNT,1,NULL,NULL,NULL,2000009
10,150,1000010,NULL,1,3PP000018,KEY1010,BEGUM,FAHIM,"BEGUM, FAHIM",1985-09-03,M,A,0,26,2020-01-11,House 10,Road 10,Barisal,880171000010,SALAM,CLNT,1,NULL,NULL,NULL,2000010
